***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,3,,,,,,Num Repeats:,3,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,34.44,,,,,,System Temp (C):,29.46,,,,,,,
Humidity (%):,35.39,,,,,,Humidity (%):,52.02,,,,,,,
Lamp Indicator:,1144,,,,,,Lamp Indicator:,1099,,,,,,,
Data Date-Time:,2025/08/09T14:44:51,,,,,,Data Date-Time:,2025/08/09T13:22:04,,,,,,,
Total Measurement Time in sec:,2.4163623,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-R210,,,,,,Shift Vector Coefficients:,-5.72686255341989,0.0566949379947153,-0.000136804211203387,,,,,
Serial Number:,734R012,(N/A),,,,,Pixel to Wavelength Coefficients:,1812.09528251196,-0.912948081806683,-0.000238884275033469,,,,,
GUI Version:,3.9.8,Revision:,830,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(hh:mm:ss):,N/A,,,,,,,
UUID:,D6:65:30:51:9A:41:0D:28,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Not activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Num Scan:,3

Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.894453969064,0.24985617261176,61165,34407
904.808608847648,0.243015279243663,71524,40873
910.020793259393,0.250183960049717,81743,45948
913.924914998427,0.256574994267204,88693,49126.3333333333
917.82473682051,0.257788288975612,96017,53034.6666666667
921.720258725642,0.260538103116804,105300,57795
925.611480713823,0.260904400603365,115956,63590
929.498402785054,0.263402536413505,129721,70730.6666666667
933.381024939334,0.263622606633025,145333,79203
937.259347176664,0.263013252583996,161102,87920
941.133369497043,0.261413220910168,176880,96887
945.003091900472,0.257743652814543,190875,105440
948.86851438695,0.256231298688062,204873,113567.333333333
954.015722275886,0.255043954303485,222646,123757.333333333
957.871111622812,0.255652163209584,236435,131238
961.722201052788,0.257202402129205,250209,138388.666666667
965.568990565813,0.259008014533033,265026,145975.666666667
969.411480161888,0.258643736604493,277918,153205
973.249669841012,0.259376265033618,291257,160287.666666667
977.083559603186,0.26224473630535,304760,166614.666666667
980.913149448408,0.262109116361821,316097,172866.666666667
984.738439376681,0.262662816688999,326323,178231.666666667
988.559429388003,0.261895208316727,334592,183071.333333333
993.64739397673,0.263972226346714,344807,187760.333333333
997.458350848501,0.26384958717279,349688,190472
1001.26500780332,0.263691340745832,353644,192697
1005.06736484119,0.264063902122799,357116,194422
1008.86542196211,0.26498297776475,359485,195298
1012.65917916608,0.264000930366226,360943,196534
1016.44863645309,0.264945782302096,363031,197241.333333333
1020.23379382316,0.265165224398703,363948,197639.666666667
1024.01465127628,0.264611702006529,364282,198073.333333333
1027.79120881244,0.265642608230285,365769,198410.333333333
1032.81993010096,0.265537303142052,367653,199480.666666667
1036.58645449757,0.264442647402636,369308,200884.333333333
1040.34867897724,0.263875714187442,370049,201550.333333333
1044.10660353995,0.264979629021911,372221,202218.666666667
1047.86022818571,0.264346497553324,373567,203246
1051.60955291452,0.264081750866169,375404,204370
1055.35457772639,0.26421488805379,377310,205344.666666667
1059.0953026213,0.262679002124771,379148,207076
1062.83172759926,0.262169194316598,381319,208506.333333333
1066.56385266027,0.263273716132257,384184,209539.333333333
1071.53333064858,0.262856780250768,387908,211773.666666667
1075.25542257003,0.262031026612811,390607,213653
1078.97321457454,0.261560501999664,393646,215548.666666667
1082.6867066621,0.261452008483169,396671,217259.333333333
1086.3958988327,0.261037328542098,399870,219220.666666667
1090.10079108636,0.261884909152024,402904,220453.333333333
1093.80138342306,0.261441762143255,405606,222158.333333333
1097.49767584282,0.260573489486351,407871,223846
1101.18966834562,0.261958136506199,411381,225053.666666667
1104.87736093148,0.261760173335705,413721,226437
1108.56075360038,0.261462873188583,415453,227540.666666667
1113.46525506588,0.26339350094188,418471,228177
1117.13861459523,0.261766825213612,419674,229691.666666667
1120.80767420763,0.263061905943456,421639,230080
1124.47243390308,0.263771303167183,423459,230696
1128.13289368158,0.26528779134244,424228,230309.333333333
1131.78905354313,0.2679788449836,426045,229867
1135.44091348773,0.271308296313153,426478,228343.333333333
1139.08847351537,0.274311280678408,427601,227367
1142.73173362607,0.278112418204529,428210,225706.666666667
1146.37069381982,0.283755730078334,430333,223897.333333333
1151.21595198511,0.289119784704628,431572,221785.666666667
1154.84487903931,0.293915286615772,433166,220160.333333333
1158.46950617655,0.299635447852515,435811,218606.333333333
1162.08983339684,0.303378653720893,437511,217575.666666667
1165.70586070019,0.308189047376824,440470,216634.333333333
1169.31758808658,0.312036911275072,443261,216084
1172.92501555602,0.314967818394702,446330,216116.666666667
1176.52814310851,0.317662112113993,450024,216557.666666667
1180.12697074405,0.320719345783055,453937,216908.333333333
1183.72149846264,0.324043024127395,458109,217233
1188.50751332773,0.327735465429744,464689,218487.666666667
1192.09200790677,0.330881693202718,470015,219396.666666667
1195.67220256885,0.331780287325831,476072,221764.666666667
1199.24809731399,0.332806572728189,482088,224037
1202.81969214218,0.33299094006151,488677,227002.666666667
1206.38698705341,0.33389644539983,496329,230077
1209.9499820477,0.334131331099786,503908,233464
1213.50867712503,0.333176946963464,511433,237471.666666667
1217.06307228542,0.331441537343228,519363,242119.333333333
1220.61316752885,0.329503876190715,528308,247390.666666667
1224.15896285534,0.325187704965191,536018,253508
1228.88000119761,0.320653265948538,547278,261550
1232.41576338454,0.31859636947808,557050,267484
1235.94722565453,0.316288120060556,566065,273261.333333333
1239.47438800756,0.31444591574695,575725,279106
1242.99725044364,0.312434068456221,584235,284546.666666667
1246.51581296276,0.311541756626189,594054,289924
1250.03007556494,0.309039717046722,602549,295769
1253.54003825017,0.308511571420484,612257,300900
1257.04570101845,0.307309052353663,621056,306070.666666667
1260.54706386978,0.306692463163387,630966,311396.333333333
1265.20885891184,0.306398323828648,643606,317849.666666667
1268.70018862362,0.306194517769103,652183,322236.666666667
1272.18721841844,0.306684332314356,661425,326434.666666667
1275.66994829632,0.306151604625203,669244,330699
1279.14837825724,0.306438867549309,677027,334323.666666667
1282.62250830122,0.305893687150035,683423,337906
1286.09233842824,0.305888610558118,689796,341061
1289.55786863831,0.305288363203055,695579,344396
1293.01909893143,0.304293186757201,699163,346964.666666667
1296.4760293076,0.305002571421572,703715,348653.666666667
1301.07858104946,0.305256354313668,709736,351431.333333333
1304.52547828608,0.30603117687911,713970,352897.666666667
1307.96807560575,0.306193200431564,717163,354343.666666667
1311.40637300847,0.307063653377007,719966,355016.333333333
1314.84037049424,0.307776775785972,722284,355575
1318.27006806305,0.309537883852621,725225,355578
1321.69546571492,0.311231372713852,727780,355442
1325.11656344983,0.3126782576794,730006,355343.333333333
1328.5333612678,0.31492952399589,732700,354810.666666667
1331.94585916881,0.317356772359139,734345,353625.333333333
1336.48916761047,0.321178157666039,736319,351469.666666667
1339.89163237193,0.324660177707907,737558,349249.666666667
1343.28979721644,0.32829214639495,738142,346615.333333333
