***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,3,,,,,,Num Repeats:,3,,,,,,,
PGA Gain:,64,(FixedPGA),,,,,PGA Gain:,64,(AutoPGA),,,,,,
System Temp (C):,34.83,,,,,,System Temp (C):,29.46,,,,,,,
Humidity (%):,34,,,,,,Humidity (%):,52.02,,,,,,,
Lamp Indicator:,1150,,,,,,Lamp Indicator:,1099,,,,,,,
Data Date-Time:,2025/08/09T15:00:10,,,,,,Data Date-Time:,2025/08/09T13:22:04,,,,,,,
Total Measurement Time in sec:,2.4085462,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-R210,,,,,,Shift Vector Coefficients:,-5.72686255341989,0.0566949379947153,-0.000136804211203387,,,,,
Serial Number:,734R012,(N/A),,,,,Pixel to Wavelength Coefficients:,1812.09528251196,-0.912948081806683,-0.000238884275033469,,,,,
GUI Version:,3.9.8,Revision:,830,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.10,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.0.0,,,,,,Total Time(hh:mm:ss):,N/A,,,,,,,
UUID:,D6:65:30:51:9A:41:0D:28,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Not activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Num Scan:,3

Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.894453969064,0.374014432609072,61165,25851.6666666667
904.808608847648,0.365407841746883,71524,30835
910.020793259393,0.376730386028707,81743,34333.6666666667
913.924914998427,0.383436338426211,88693,36682
917.82473682051,0.386073670776006,96017,39470.6666666667
921.720258725642,0.382235234462005,105300,43671
925.611480713823,0.389245430368249,115956,47320.3333333333
929.498402785054,0.392845469704251,129721,52500.6666666667
933.381024939334,0.397866802187259,145333,58143
937.259347176664,0.393390986235249,161102,65119.3333333333
941.133369497043,0.394688698865288,176880,71283.6666666667
945.003091900472,0.393315557442212,190875,77167.3333333333
948.86851438695,0.39191506130367,204873,83094
954.015722275886,0.394227341137696,222646,89823
957.871111622812,0.397734942719318,236435,94618.6666666667
961.722201052788,0.401597208443407,250209,99244.3333333333
965.568990565813,0.404129248957408,265026,104510.333333333
969.411480161888,0.404509166911929,277918,109498.333333333
973.249669841012,0.408857263602394,291257,113610.666666667
977.083559603186,0.413099103388552,304760,117722.333333333
980.913149448408,0.414236083252675,316097,121782.333333333
984.738439376681,0.417334512951624,326323,124828.333333333
988.559429388003,0.418269111205058,334592,127716.333333333
993.64739397673,0.422281830474079,344807,130405
997.458350848501,0.42245146412719,349688,132199.333333333
1001.26500780332,0.424567736291464,353644,133045
1005.06736484119,0.425451785386465,357116,134078
1008.86542196211,0.424942923933473,359485,135125.666666667
1012.65917916608,0.426635427536743,360943,135146
1016.44863645309,0.428365677751476,363031,135387.333333333
1020.23379382316,0.42840081942433,363948,135718.333333333
1024.01465127628,0.428042528085553,364282,135955
1027.79120881244,0.427621625451166,365769,136642.333333333
1032.81993010096,0.428292970173662,367653,137134
1036.58645449757,0.428512600917917,369308,137681.666666667
1040.34867897724,0.428892372480099,370049,137837.333333333
1044.10660353995,0.428991686621197,372221,138614.666666667
1047.86022818571,0.428022660107268,373567,139426.666666667
1051.60955291452,0.42791922197144,375404,140145.666666667
1055.35457772639,0.428277683163134,377310,140741
1059.0953026213,0.427500221249742,379148,141680
1062.83172759926,0.426787379455124,381319,142725.333333333
1066.56385266027,0.425999883113852,384184,144058.666666667
1071.53333064858,0.425683705826164,387908,145561
1075.25542257003,0.424613779404102,390607,146935.333333333
1078.97321457454,0.424190243712601,393646,148223
1082.6867066621,0.423906441707141,396671,149459.666666667
1086.3958988327,0.423366790595745,399870,150852.333333333
1090.10079108636,0.42373435220907,402904,151868.333333333
1093.80138342306,0.423331576477396,405606,153028.666666667
1097.49767584282,0.422254485762911,407871,154265.333333333
1101.18966834562,0.422858429355069,411381,155376.666666667
1104.87736093148,0.42323233265784,413721,156126
1108.56075360038,0.424513835604921,415453,156317.666666667
1113.46525506588,0.42404485931375,418471,157623.333333333
1117.13861459523,0.423519864642255,419674,158267.666666667
1120.80767420763,0.424811052008063,421639,158536.666666667
1124.47243390308,0.425176675431844,423459,159087
1128.13289368158,0.426374318262266,424228,158937
1131.78905354313,0.430777313053416,426045,158007.666666667
1135.44091348773,0.433418306844013,426478,157209.333333333
1139.08847351537,0.437358609442673,427601,156199.666666667
1142.73173362607,0.440801467528826,428210,155187
1146.37069381982,0.449470075002789,430333,152874.333333333
1151.21595198511,0.455098574108583,431572,151340.333333333
